recordid,positionid,tradeid,asofdate,quantity,marketvalue,pnl,valuationmethod,price,created_ts,variance
24,POS000063492,TRD00659896,2026-03-21,6315,429795.44,-41468.71,MTM,380.3,2020-05-14 12:20:23,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
11,POS000037893,TRD00817295,2026-03-21,7493,2196.5,15463.19,MTM,414.02,2020-11-17 16:11:21,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
45,POS000097290,TRD00288964,2026-03-21,2513,82225.59,13337.25,MTM,200.81,2025-04-16 07:40:35,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
40,POS000087052,TRD00213761,2026-03-21,601,7352.51,-30492.79,MODEL,353.36,2020-11-24 15:26:55,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
44,POS000094480,TRD00984256,2026-03-21,4905,459636.22,-2037.07,MTM,428.63,2020-08-29 01:57:05,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
30,POS000070164,TRD00274960,2026-03-21,4743,126854.36,28790.58,MODEL,309.88,2023-11-01 05:49:29,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
39,POS000086933,TRD00299094,2026-03-21,5714,403841.52,29858.63,MODEL,255.69,2024-09-18 02:03:45,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
6,POS000026519,TRD00348271,2026-03-21,656,78994.71,-12143.86,MTM,211.04,2023-07-21 09:43:09,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
41,POS000087960,TRD00097975,2026-03-21,3959,463241.99,-15038.6,MTM,139.6,2025-10-27 18:17:04,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
46,POS000098328,TRD00608587,2026-03-21,2668,398281.59,38402.51,MODEL,195.34,2024-04-12 01:37:17,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
