recordid,customer_id,customer_name,region_code,status,created_ts,variance
1,CUST0,Customer_0,R3355,ACTIVE,2021-10-08,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=rare_value, STATUS=common_value, CREATED_TS=common_value"
2,CUST1,Customer_1,R8365,INACTIVE,2022-02-06,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
3,CUST2,Customer_2,R22946,ACTIVE,2020-02-24,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
4,CUST3,Customer_3,R6891,ACTIVE,2021-04-18,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
5,CUST4,Customer_4,R21876,INACTIVE,2021-03-19,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
6,CUST5,Customer_5,R4073,ACTIVE,2022-10-08,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
7,CUST6,Customer_6,R30379,ACTIVE,2024-11-08,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
8,CUST7,Customer_7,R24500,ACTIVE,2022-01-25,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
9,CUST8,Customer_8,R24950,ACTIVE,2020-11-18,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
10,CUST9,Customer_9,R19407,ACTIVE,2023-11-06,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
11,CUST10,Customer_10,R1579,ACTIVE,2020-04-26,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
12,CUST11,Customer_11,R19652,TEST,2022-03-25,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
13,CUST12,Customer_12,R12695,ACTIVE,2025-02-10,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
14,CUST13,Customer_13,R8762,ACTIVE,2022-10-08,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=rare_value, STATUS=common_value, CREATED_TS=common_value"
15,CUST14,Customer_14,R18839,ACTIVE,2021-05-12,"CUSTOMER_ID=rare_value, CUSTOMER_NAME=rare_value, REGION_CODE=common_value, STATUS=common_value, CREATED_TS=common_value"
