recordid,product_id,product_name,category,price,created_ts,variance
1,P0,Product_0,D,714.78,2020-08-03,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
2,P1,Product_1,D,365.77,2021-01-19,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
3,P2,Product_2,C,166.89,2025-05-19,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
4,P3,Product_3,C,899.62,2022-06-03,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
5,P4,Product_4,A,704.48,2022-02-02,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
6,P5,Product_5,A,803.16,2020-04-17,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
7,P6,Product_6,D,164.05,2024-03-09,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
8,P7,Product_7,D,541.87,2024-04-23,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
9,P8,Product_8,A,227.11,2025-04-09,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
10,P9,Product_9,C,197.73,2022-11-07,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
11,P10,Product_10,A,376.34,2021-02-23,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
12,P11,Product_11,C,916.06,2024-11-27,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
13,P12,Product_12,D,21.26,2023-08-09,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
14,P13,Product_13,A,332.79,2025-11-10,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
15,P14,Product_14,A,77.44,2023-06-22,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
16,P15,Product_15,B,126.88,2023-08-15,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
17,P16,Product_16,D,555.55,2025-10-16,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
18,P17,Product_17,D,714.92,2020-12-19,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
19,P18,Product_18,A,415.59,2021-12-14,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
20,P19,Product_19,D,519.38,2020-02-13,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
21,P20,Product_20,B,175.35,2021-10-31,"PRODUCT_ID=rare_value, PRODUCT_NAME=rare_value, CATEGORY=common_value, PRICE=positive, CREATED_TS=common_value"
