RecordId,ORDER_ID,CUSTOMER_ID,ORDER_DATE,STATUS,CURRENCY_CODE,CREATED_TS,RecordId_SRC_ORDER_LINES,LINE_ID,PRODUCT_ID,QTY,LINE_AMOUNT,CREATED_TS_SRC_ORDER_LINES,RecordId_SRC_CUSTOMERS,CUSTOMER_NAME,REGION_CODE,STATUS_SRC_CUSTOMERS,CREATED_TS_SRC_CUSTOMERS,RecordId_SRC_PRODUCTS,PRODUCT_NAME,CATEGORY,PRICE,CREATED_TS_SRC_PRODUCTS,RecordId_REF_REGION,REGION_NAME,RecordId_REF_CURRENCY,CURRENCY_NAME,RecordId_SRC_PAYMENTS,PAYMENT_ID,AMOUNT,PAYMENT_STATUS,CREATED_TS_SRC_PAYMENTS
1,O0,CUST47104,2022-04-13,ACTIVE,C39671,2025-12-11,1,L0,P2017,2,1617.7,2022-04-20,1,Customer_0,R3355,ACTIVE,2021-10-08,1,Product_0,D,714.78,2020-08-03,1,Region_0,1,Currency_0,1,PAY0,483.38,FAILED,2023-06-16
2,O1,CUST171329,2021-08-15,CANCELLED,C39176,2021-09-29,2,L1,P38216,17,726.46,2023-08-10,2,Customer_1,R8365,INACTIVE,2022-02-06,2,Product_1,D,365.77,2021-01-19,2,Region_1,2,Currency_1,2,PAY1,1232.2,FAILED,2024-06-18
3,O2,CUST7465,2023-03-25,CANCELLED,C6387,2025-06-27,3,L2,P31522,7,478.18,2022-09-26,3,Customer_2,R22946,ACTIVE,2020-02-24,3,Product_2,C,166.89,2025-05-19,3,Region_2,3,Currency_2,3,PAY2,2157.28,PAID,2022-02-26
4,O3,CUST2174,2022-12-27,ACTIVE,C20356,2023-10-06,4,L3,P23775,6,1252.42,2021-08-18,4,Customer_3,R6891,ACTIVE,2021-04-18,4,Product_3,C,899.62,2022-06-03,4,Region_3,4,Currency_3,4,PAY3,4706.29,PAID,2022-10-02
5,O4,CUST130241,2021-07-12,CANCELLED,C48900,2021-01-09,5,L4,P55672,17,1313.07,2020-12-03,5,Customer_4,R21876,INACTIVE,2021-03-19,5,Product_4,A,704.48,2022-02-02,5,Region_4,5,Currency_4,5,PAY4,1783.13,PAID,2022-09-13
6,O5,CUST157087,2024-04-04,RETURNED,C40705,2021-03-29,6,L5,P24892,15,8468.91,2023-06-23,6,Customer_5,R4073,ACTIVE,2022-10-08,6,Product_5,A,803.16,2020-04-17,6,Region_5,6,Currency_5,6,PAY5,3653.95,FAILED,2025-02-26
7,O6,CUST131047,2020-11-30,ACTIVE,C17491,2022-04-26,7,L6,P91106,17,7491.82,2022-10-21,7,Customer_6,R30379,ACTIVE,2024-11-08,7,Product_6,D,164.05,2024-03-09,7,Region_6,7,Currency_6,7,PAY6,1341.28,PAID,2023-02-18
8,O7,CUST183062,2020-12-10,CANCELLED,C15425,2025-08-15,8,L7,P56574,6,4852.72,2021-09-28,8,Customer_7,R24500,ACTIVE,2022-01-25,8,Product_7,D,541.87,2024-04-23,8,Region_7,8,Currency_7,8,PAY7,2295.13,FAILED,2020-07-20
9,O8,CUST129047,2020-01-29,ACTIVE,C16361,2022-08-22,9,L8,P65209,14,7928.43,2020-05-06,9,Customer_8,R24950,ACTIVE,2020-11-18,9,Product_8,A,227.11,2025-04-09,9,Region_8,9,Currency_8,9,PAY8,94.45,PENDING,2020-12-17
10,O9,CUST147346,2023-07-04,ACTIVE,C33847,2022-06-11,10,L9,P65663,6,2330.89,2021-06-07,10,Customer_9,R19407,ACTIVE,2023-11-06,10,Product_9,C,197.73,2022-11-07,10,Region_9,10,Currency_9,10,PAY9,1224.58,PAID,2020-10-26
